gsr_max,gsr_min,min_ra,max_ra,gsr_mean,gsr_sd,gsr_var,ecg_avg,ecg_median,ecg_sd,fear,angry,happy,sad,class
2.32,1.63,0.702586207,1.423312883,1.730828025,0.101923562,0.010388413,0.930027891,0.8232965,0.479210017,3,2,1,2,0
1.93,1.63,0.844559585,1.18404908,1.723939394,0.113225603,0.012820037,3.542570033,0.950501,8.880390715,1,1,1,5,1
2.81,1.93,0.68683274,1.455958549,2.189153605,0.289796456,0.083981986,0.905499592,0.8234305,0.307659685,1,1,4,1,0
3,2.32,0.773333333,1.293103448,2.731612903,0.270725761,0.073292438,0.893933889,0.80899,0.460317919,2,2,1,4,2
3.29,2.51,0.762917933,1.310756972,2.808037975,0.230696699,0.053220967,0.888475681,0.7946955,0.325274902,2,5,1,2,3
10.04,8.77,0.873505976,1.144811859,9.327247706,0.263157014,0.069251614,0.077918688,0.044682,0.136907463,2,4,1,4,0
12.48,10.72,0.858974359,1.164179104,11.33371795,0.372353376,0.138647036,0.348636128,0.13928,3.236177435,4,1,1,1,1
13.07,10.92,0.835501148,1.196886447,11.69236559,0.449989544,0.20249059,0.112752855,0.139253,0.047821368,2,5,1,2,1
13.85,11.51,0.831046931,1.203301477,12.78925926,0.536258357,0.287573026,0.139960252,0.139295,0.061334842,2,5,1,3,2
14.73,11.99,0.813985064,1.22852377,12.81664596,0.553801571,0.30669618,0.131578792,0.139277,0.059602959,2,2,1,4,3
6.52,2.51,0.384969325,2.597609562,4.255403727,0.911399332,0.830648742,0.525779618,0.139604,0.59617864,1,1,4,3,0
6.32,4.37,0.691455696,1.446224256,5.34488189,0.477428406,0.227937883,0.060686435,0.044749,0.02781406,5,2,1,3,2
6.32,3.78,0.598101266,1.671957672,4.6197,0.59643835,0.355738706,0.353476712,0.053468,1.039796508,1,2,1,5,1
7.4,5.74,0.775675676,1.289198606,6.309555556,0.44721337,0.2,0.052149333,0.044466,0.019262868,2,5,1,1,2
7.2,3.1,0.430555556,2.322580645,4.141620112,1.020889209,1.042214776,1.095036775,0.8234105,0.962986176,2,2,1,5,3
3.49,2.22,0.636103152,1.572072072,2.748373984,0.404183804,0.163364548,5.415724432,0.1392855,14.96942453,1,1,4,1,0
5.05,3.69,0.730693069,1.368563686,4.260247934,0.309428136,0.095745771,1.240818829,0.725197,3.234726464,1,1,5,1,3
5.35,3.2,0.598130841,1.671875,3.670257732,0.368308605,0.135651229,3.903686667,0.776133,16.35275172,3,4,1,4,1
5.84,4.57,0.782534247,1.277899344,5.09575,0.365224817,0.133389167,0.755152051,0.782392,0.64475501,5,2,1,4,2
5.05,3.69,0.730693069,1.368563686,4.110402685,0.335955433,0.112866053,0.912103581,0.8358,0.637324588,1,1,1,5,3
1.93,0,0,0,0.910439024,0.728009173,0.529997355,0.963137719,0.8110235,0.636003152,1,1,5,1,0
2.51,1.73,0.689243028,1.450867052,2.070923077,0.195422207,0.038189839,0.8026999,0.852022,0.421316296,5,1,1,5,0
6.32,1.34,0.212025316,4.71641791,4.529269663,1.299520131,1.688752571,0.982861913,0.810898,0.695877514,1,5,1,3,1
8.18,4.57,0.558679707,1.789934354,7.287727273,1.022622263,1.045756294,0.918400968,0.8234145,0.611180011,2,4,1,4,2
7.99,4.57,0.571964956,1.748358862,6.260887097,0.897310355,0.805165873,0.873040134,0.835911,0.616045685,5,1,1,4,3
5.93,2.51,0.423271501,2.362549801,4.7996,1.26536714,1.601154,1.068451656,0.8583975,0.693700765,1,5,1,3,0
8.18,5.84,0.71393643,1.400684932,7.138152174,0.480233298,0.230624021,1.306944271,0.831579,1.154172531,1,5,1,3,1
5.15,2.32,0.450485437,2.219827586,3.491438849,0.866903168,0.751521103,1.162293573,0.851706,0.757723615,4,1,1,5,1
10.53,7.79,0.739791073,1.351732991,9.446229508,0.573495609,0.328897213,1.114544933,0.8644875,0.761097484,1,1,4,1,2
10.23,6.42,0.627565982,1.593457944,7.719938272,0.921001006,0.848242853,0.853811058,0.753604,0.878116376,5,1,1,4,3
1.14,0,0,0,0.99696,0.298134587,0.088884232,1.130417975,0.76617,1.034590307,1,1,1,5,0
1.24,1.14,0.919354839,1.087719298,1.184791667,0.049989034,0.002498904,1.336552827,0.823492,1.209979561,1,5,1,2,1
1.44,1.24,0.861111111,1.161290323,1.332352941,0.06154129,0.00378733,1.367593506,0.810988,1.257022108,1,1,1,4,2
1.83,1.44,0.786885246,1.270833333,1.691081081,0.079906925,0.006385117,0.930781503,0.769875,0.979169198,1,2,1,2,2
1.63,1.53,0.938650307,1.065359477,1.598852459,0.046693981,0.002180328,0.931945676,0.7394175,1.166707859,1,1,5,1,3
1.93,1.53,0.792746114,1.261437908,1.752346369,0.103604003,0.010733789,1.156536442,0.8233865,0.907463075,1,4,1,4,0
1.53,1.24,0.810457516,1.233870968,1.435851064,0.049868851,0.002486902,0.906697712,0.8171885,0.270301777,3,1,1,4,1
1.73,1.44,0.832369942,1.201388889,1.53,0.056537879,0.003196532,0.865414592,0.7949235,0.282494876,1,1,1,5,0
1.83,1.53,0.836065574,1.196078431,1.717878788,0.077489754,0.006004662,0.856870394,0.766111,0.296153742,1,1,5,1,2
1.93,1.53,0.792746114,1.261437908,1.640967742,0.087954934,0.00773607,0.994922938,0.8008025,0.377040351,4,1,1,4,3
13.75,8.28,0.602181818,1.660628019,10.07036232,1.354051724,1.833456072,0.92840307,0.7824005,0.478111636,1,5,1,1,0
14.63,10.23,0.69924812,1.430107527,12.32824176,0.840304962,0.70611243,0.959123239,0.852086,0.328912299,1,5,1,5,1
16,11.21,0.700625,1.427297056,12.41977143,0.965187108,0.931586154,0.920940799,0.8645515,0.294434272,5,1,1,5,1
16.2,13.56,0.837037037,1.194690265,14.44635135,0.518621921,0.268968697,0.928403851,0.868311,0.257357232,1,5,1,5,2
12.58,0,0,0,9.818962264,3.368447976,11.34644177,0.869702122,0.753722,0.332850923,1,5,1,5,3
2.02,1.34,0.663366337,1.507462687,1.69244898,0.179415305,0.032189852,1.040199084,0.905545,0.396499078,5,1,1,4,0
2.51,2.02,0.804780876,1.242574257,2.238311688,0.101818788,0.010367066,1.043677695,0.880652,0.475419911,1,1,4,1,1
